날짜,NOK/USD,USD/KRW,NOK/KRW,dNOK/KRW
2022-03-03,0.1129971594,1203.150024,135.952535,0.0006723807813
2022-03-04,0.1122934371,1205.98999,135.4247611,-0.003882045341
2022-03-07,0.1114990041,1216.709961,135.6619489,0.001751435557
2022-03-08,0.1105915755,1232.300049,136.2820039,0.004570588998
2022-03-09,0.1114006266,1233.109985,137.369225,0.007977730814
2022-03-10,0.1122509539,1223.22998,137.3087322,-0.0004403669915
2022-03-11,0.1120337695,1228.599976,137.6446865,0.002446707435
2022-03-14,0.1112155244,1236.890015,137.5613716,-0.0006052895062
2022-03-15,0.1106512919,1242.050049,137.4344425,-0.0009227085819
2022-03-16,0.1111842543,1241.680054,138.0552708,0.004517268814
2022-03-17,0.1124209464,1223.0,137.4908174,-0.004088604772
2022-03-18,0.1138602048,1210.329956,137.8084167,0.002309967308
2022-03-21,0.1142735705,1210.369995,138.3133009,0.003663667738
2022-03-22,0.1145029366,1219.780029,139.6683954,0.009797282054
2022-03-23,0.1142361015,1214.949951,138.7911459,-0.00628094431
2022-03-24,0.1153289527,1218.01001,140.4718188,0.01210936625
2022-03-25,0.1154586449,1217.550049,140.5766788,0.0007464842479
2022-03-28,0.1159558743,1224.380005,141.974054,0.009940305996
2022-03-29,0.1149174348,1223.660034,140.6198721,-0.009538234603
2022-03-30,0.1154390574,1209.130005,139.580828,-0.007389027903
2022-03-31,0.1168184653,1210.439941,141.4017363,0.01304554739
2022-04-01,0.1138625294,1214.5,138.286042,-0.02203434281
2022-04-04,0.1142223999,1218.780029,139.2119799,0.006695816288
2022-04-05,0.1148106977,1213.900024,139.3687088,0.001125829099
2022-04-06,0.1141044572,1218.75,139.0648072,-0.002180558128
2022-04-07,0.1136105433,1217.599976,138.3321948,-0.005268136959
2022-04-08,0.1135109887,1222.660034,138.7853493,0.003275842658
2022-04-11,0.1148659512,1228.23999,141.0829548,0.01655510164
2022-04-12,0.1134659052,1235.050049,140.1360717,-0.006711534259
2022-04-13,0.1141159162,1228.599976,140.2028118,0.0004762521358
2022-04-14,0.114358902,1223.119995,139.8746596,-0.002340553769
2022-04-15,0.1141422242,1230.099976,140.4063472,0.003801171461
2022-04-18,0.1136466935,1228.089966,139.568364,-0.005968271659
2022-04-19,0.1131599322,1235.349976,139.7921195,0.001603196451
2022-04-20,0.1133139357,1239.599976,140.4639519,0.00480593935
2022-04-21,0.113582544,1234.089966,140.1710779,-0.002085047739
2022-04-22,0.1124637946,1242.48999,139.7351391,-0.003110047879
2022-04-25,0.1118218079,1243.160034,139.0124026,-0.005172189059
2022-04-26,0.1096681282,1249.209961,136.9985181,-0.01448708449
2022-04-27,0.1083332077,1260.709961,136.576754,-0.003078603587
2022-04-28,0.1072848588,1266.280029,135.8526742,-0.005301633048
2022-04-29,0.1062529907,1272.290039,135.1846216,-0.004917477967
2022-05-02,0.1064940095,1262.530029,134.4518849,-0.00542026678
2022-05-03,0.1060592756,1266.75,134.3505873,-0.000753411544
2022-05-04,0.1064577252,1261.060059,134.2495851,-0.0007517807699
2022-05-05,0.1083652526,1251.5,135.6191136,0.0102013612
2022-05-06,0.105451867,1268.699951,133.7867785,-0.01351089167
2022-05-09,0.1050056145,1270.130005,133.3707816,-0.003109402084
2022-05-10,0.1035692021,1274.859985,132.0362315,-0.01000631537
2022-05-11,0.1027696431,1276.550049,131.1905929,-0.006404595296
2022-05-12,0.1025767252,1278.150024,131.1084438,-0.0006261811589
2022-05-13,0.1013946906,1290.75,130.8751969,-0.001779038293
2022-05-16,0.1024060324,1277.569946,130.8308693,-0.0003387010423
2022-05-17,0.1024191454,1279.849976,131.0811407,0.001912938866
2022-05-18,0.1035546139,1266.660034,131.1684908,0.0006663812977
2022-05-19,0.101228714,1275.579956,129.1253185,-0.01557669996
2022-05-20,0.103156589,1263.550049,130.343513,0.009434203175
2022-05-23,0.1028341129,1273.209961,130.9294169,0.004495075179
2022-05-24,0.1040814519,1258.819946,131.0198077,0.0006903777728
2022-05-25,0.1046211123,1260.98999,131.9261754,0.006917791828
2022-05-26,0.1045374423,1266.599976,132.4071219,0.00364557269
2022-05-27,0.1050611138,1258.890015,132.2603871,-0.001108209004
2022-05-30,0.1057596654,1251.589966,132.367736,0.0008116476443
2022-05-31,0.1063471213,1236.170044,131.4631256,-0.006834069875
2022-06-01,0.1069427282,1241.73999,132.7950622,0.0101316366
2022-06-02,0.1054774523,1246.949951,131.525104,-0.009563294253
2022-06-03,0.1068113595,1240.839966,132.5358037,0.007684462536
2022-06-06,0.1060605049,1250.530029,132.6318463,0.0007246541081
2022-06-07,0.106094718,1254.47998,133.0936997,0.003482221163
2022-06-08,0.1057321653,1254.579956,132.6494553,-0.003337832465
2022-06-09,0.1055431217,1256.73999,132.6402617,-6.930701556e-05
2022-06-10,0.1043704078,1264.02002,131.9262849,-0.005382806579
2022-06-13,0.1022537798,1278.280029,130.7089646,-0.009227276111
2022-06-14,0.1009773612,1291.800049,130.4425601,-0.002038149931
2022-06-15,0.1001028046,1289.47998,129.0805625,-0.01044135908
2022-06-16,0.1007505953,1278.160034,128.7753844,-0.002364245584
2022-06-17,0.1004319564,1288.180054,129.3744429,0.004651964792
2022-06-20,0.1001212448,1290.5,129.2064664,-0.001298374883
2022-06-21,0.1011699289,1292.380005,130.7499932,0.01194620409
2022-06-22,0.1015754342,1291.599976,131.1948283,0.003402180876
2022-06-23,0.1008964628,1297.680054,130.9313273,-0.002008471548
2022-06-24,0.1002519354,1299.810059,130.3084741,-0.004757098401
2022-06-27,0.1016363502,1288.290039,130.9370975,0.004824118003
2022-06-28,0.1021193787,1286.199951,131.34594,0.003122433999
2022-06-29,0.1018809229,1292.030029,131.6332118,0.00218713925
2022-06-30,0.1011592895,1301.72998,131.6820799,0.0003712444648
2022-07-01,0.1016235426,1287.709961,130.8616481,-0.006230398533
2022-07-04,0.1003341153,1297.890015,130.2226464,-0.004883032418
2022-07-05,0.1018648446,1295.680054,131.9842473,0.0135276076
2022-07-06,0.09937058389,1308.660034,130.0423117,-0.0147133889
2022-07-07,0.09870304167,1304.849976,128.7926615,-0.009609566141
2022-07-08,0.09930161387,1297.650024,128.8587417,0.0005130738162
2022-07-11,0.09962044656,1293.790039,128.8879414,0.0002266031024
2022-07-12,0.09808441252,1310.859985,128.5749316,-0.002428542915
2022-07-13,0.09748575091,1305.829956,127.2998138,-0.009917312076
2022-07-14,0.09776203334,1304.849976,127.5647868,0.002081487646
2022-07-15,0.09779950976,1316.180054,128.721764,0.009069722306
2022-07-18,0.098346591,1318.119995,129.632608,0.007076068576
2022-07-19,0.09920793027,1318.910034,130.8463347,0.00936281908
2022-07-20,0.1009995937,1305.5,131.8549696,0.007708545477
2022-07-21,0.1003089473,1312.869995,131.6926071,-0.001231371976
2022-07-22,0.1005554646,1306.849976,131.4109065,-0.002139076913
2022-07-25,0.1009081751,1309.319946,132.1210864,0.005404269284
2022-07-26,0.101699397,1310.400024,133.2668923,0.008672392004
2022-07-27,0.1011461914,1310.900024,132.5925447,-0.005060128114
2022-07-28,0.1028039753,1305.949951,134.2568466,0.01255200179
