날짜,방어(자연)_대,d방어(자연)_대
2020-12-30,23642,0.4317204627
2020-12-31,22535,-0.04682344979
2021-01-04,22630,0.004215664522
2021-01-05,20692,-0.08563853292
2021-01-06,20902,0.0101488498
2021-01-07,20771,-0.006267342838
2021-01-08,20771,0.0
2021-01-09,19896,-0.04212604112
2021-01-11,22911,0.1515379976
2021-01-12,24144,0.05381694383
2021-01-13,23095,-0.04344764745
2021-01-14,18378,-0.2042433427
2021-01-15,17733,-0.03509631081
2021-01-16,17303,-0.0242485761
2021-01-18,19908,0.1505519274
2021-01-19,18815,-0.05490255174
2021-01-20,16282,-0.1346266277
2021-01-21,17924,0.1008475617
2021-01-22,22175,0.2371680428
2021-01-23,19497,-0.1207666291
2021-01-25,18972,-0.02692721957
2021-01-26,15486,-0.1837444655
2021-01-27,16048,0.03629084334
2021-01-28,16640,0.036889332
2021-01-29,19919,0.1970552885
2021-01-30,14909,-0.2515186505
2021-02-01,14865,-0.002951237508
2021-02-02,14164,-0.04715775311
2021-02-03,10655,-0.2477407512
2021-02-04,11106,0.04232754575
2021-02-05,8997,-0.1898973528
2021-02-06,8537,-0.05112815383
2021-02-08,11987,0.4041232283
2021-02-09,15825,0.3201801952
2021-02-10,11977,-0.2431595577
2021-02-11,17267,0.4416798864
2021-02-15,16905,-0.02096484624
2021-02-16,13196,-0.2194025436
2021-02-17,6184,-0.5313731434
2021-02-18,13904,1.248382924
2021-02-19,15019,0.08019275029
2021-02-20,16496,0.09834210001
2021-02-22,15013,-0.08990058196
2021-02-23,15013,0.0
2021-02-24,18689,0.2448544595
2021-02-25,14607,-0.2184172508
2021-02-26,14607,0.0
2021-02-27,11951,-0.1818306292
2021-03-01,11951,0.0
2021-03-02,11951,0.0
2021-03-03,11951,0.0
2021-03-04,11951,0.0
2021-03-05,11951,0.0
2021-03-06,18317,0.53267509
2021-03-08,19000,0.03728776546
2021-03-09,16454,-0.134
2021-03-10,11927,-0.2751306673
2021-03-11,11927,0.0
2021-03-12,11235,-0.05801961935
2021-03-13,8805,-0.2162883845
2021-03-15,8668,-0.01555934128
2021-03-16,8331,-0.03887863406
2021-03-17,8853,0.06265754411
2021-03-18,8942,0.01005308935
2021-03-19,8500,-0.04942965779
2021-03-20,8492,-0.0009411764706
