날짜,광어_대,광어_중,광어_소,d광어_대,d광어_중,d광어_소
2020-10-12,18415.0,16656.0,14827.0,0.01965669989,0.008293480235,0.02729855193
2020-10-13,17721.0,15258.0,9325.0,-0.03768666848,-0.08393371758,-0.3710797869
2020-10-14,18434.0,17214.0,15854.0,0.04023474973,0.1281950452,0.7001608579
2020-10-15,18554.0,17878.0,15162.0,0.006509710318,0.03857325433,-0.04364829065
2020-10-16,18570.0,17848.0,11779.0,0.0008623477417,-0.001678040049,-0.2231235985
2020-10-19,17745.0,16690.0,15174.0,-0.04442649435,-0.06488121918,0.2882248069
2020-10-20,18274.0,16068.0,14835.0,0.02981121443,-0.03726782504,-0.02234084618
2020-10-21,18519.0,17576.0,15826.0,0.01340702638,0.09385113269,0.06680148298
2020-10-22,18750.0,17615.0,16100.0,0.01247367568,0.002218934911,0.01731328194
2020-10-23,19075.0,16943.0,14701.0,0.01733333333,-0.03814930457,-0.08689440994
2020-10-26,18817.0,16570.0,9808.0,-0.01352555701,-0.02201499144,-0.3328345011
2020-10-27,19242.0,17889.0,16695.0,0.0225859595,0.0796016898,0.7021818923
2020-10-28,19096.0,17162.0,11336.0,-0.00758756886,-0.04063949913,-0.3209943097
2020-10-29,18957.0,16980.0,15905.0,-0.007279011311,-0.01060482461,0.403052223
2020-10-30,20000.0,18788.0,15537.0,0.0550192541,0.1064782097,-0.02313737818
2020-11-02,19392.0,17436.0,11593.0,-0.0304,-0.07196082606,-0.2538456588
2020-11-03,18700.0,17631.0,15876.0,-0.03568481848,0.01118375774,0.3694470801
2020-11-04,19857.0,17978.0,16669.0,0.06187165775,0.01968124326,0.04994960947
2020-11-05,19363.0,17660.0,16269.0,-0.02487787682,-0.01768828568,-0.02399664047
2020-11-06,20034.0,17567.0,11160.0,0.03465372101,-0.005266138165,-0.3140328232
2020-11-09,19747.0,17697.0,16203.0,-0.0143256464,0.007400239085,0.4518817204
2020-11-10,18954.0,16675.0,12726.0,-0.04015799868,-0.05774990111,-0.2145898908
2020-11-11,19181.0,17366.0,15925.0,0.01197636383,0.04143928036,0.2513751375
2020-11-12,19395.0,17862.0,16380.0,0.01115687399,0.02856155707,0.02857142857
2020-11-13,19889.0,18137.0,16260.0,0.02547048208,0.01539581234,-0.007326007326
2020-11-16,19618.0,17816.0,15912.0,-0.0136256222,-0.01769862712,-0.02140221402
2020-11-17,19208.0,17588.0,15751.0,-0.02089917423,-0.01279748541,-0.01011814982
2020-11-18,19869.0,17418.0,10000.0,0.03441274469,-0.009665681146,-0.3651196749
2020-11-19,20161.0,18742.0,16798.0,0.01469626051,0.07601331955,0.6798
2020-11-20,20147.0,18904.0,17225.0,-0.0006944099995,0.008643687974,0.02541969282
2020-11-23,19043.0,17980.0,12857.0,-0.05479724028,-0.04887854422,-0.2535849057
2020-11-24,19477.0,18323.0,17154.0,0.0227905267,0.01907675195,0.3342148246
2020-11-25,19266.0,18284.0,15919.0,-0.01083329055,-0.002128472412,-0.07199487
2020-11-26,19279.0,18090.0,16602.0,0.0006747638327,-0.01061036972,0.04290470507
2020-11-27,18541.0,17138.0,16500.0,-0.03827999378,-0.05262576009,-0.006143838092
2020-11-30,19036.0,17533.0,15692.0,0.02669758913,0.02304819699,-0.04896969697
2020-12-01,19965.0,18436.0,16786.0,0.04880226938,0.05150288028,0.06971705328
2020-12-02,19445.0,16363.0,10703.0,-0.02604557976,-0.1124430462,-0.3623853211
2020-12-03,19314.0,18123.0,16673.0,-0.006736950373,0.1075597384,0.5577875362
2020-12-04,18708.0,17197.0,12333.0,-0.03137620379,-0.05109529327,-0.2603010856
2020-12-07,19411.0,15932.0,9000.0,0.03757750695,-0.07355934175,-0.2702505473
2020-12-08,18582.0,17357.0,16500.0,-0.04270774303,0.08944263118,0.8333333333
2020-12-09,20025.0,18049.0,11580.0,0.07765579593,0.03986864089,-0.2981818182
2020-12-10,19598.0,17603.0,16500.0,-0.02132334582,-0.02471051028,0.4248704663
2020-12-11,19647.0,18257.0,16500.0,0.002500255128,0.03715275805,0.0
2020-12-14,19103.0,18394.0,16293.0,-0.02768870565,0.00750397108,-0.01254545455
2020-12-15,18901.0,17748.0,16500.0,-0.01057425535,-0.03512014787,0.01270484257
2020-12-16,19391.0,17922.0,13742.0,0.02592455426,0.009803921569,-0.1671515152
2020-12-17,19469.0,18176.0,16309.0,0.004022484658,0.01417252539,0.1867995925
2020-12-18,19469.0,18176.0,16309.0,0.0,0.0,0.0
2020-12-21,18742.0,17020.0,14203.0,-0.03734141456,-0.06360035211,-0.1291311546
2020-12-22,18786.0,18310.0,15505.0,0.002347668338,0.07579318449,0.09167077378
2020-12-23,19741.0,18472.0,15893.0,0.05083572873,0.008847624249,0.02502418575
2020-12-24,18819.0,17491.0,10674.0,-0.04670482752,-0.0531074058,-0.3283835651
2020-12-28,18849.0,17197.0,15597.0,0.001594133588,-0.01680864445,0.4612141653
2020-12-29,18497.0,17789.0,16305.0,-0.01867473075,0.03442460894,0.04539334487
2020-12-30,19958.0,17846.0,13580.0,0.07898578148,0.003204227331,-0.1671266483
2020-12-31,18064.0,16684.0,12990.0,-0.09489928851,-0.06511263028,-0.04344624448
2021-01-04,18222.0,17980.0,16790.0,0.008746678477,0.07767921362,0.2925327175
2021-01-05,18254.0,16509.0,11193.0,0.001756118977,-0.0818131257,-0.3333531864
2021-01-06,18299.0,17674.0,15319.0,0.002465213104,0.0705675692,0.3686232467
2021-01-07,18412.0,16179.0,12000.0,0.006175200831,-0.0845875297,-0.2166590509
2021-01-08,18412.0,16179.0,12000.0,0.0,0.0,0.0
2021-01-11,18251.0,17046.0,12985.0,-0.008744297197,0.05358798442,0.08208333333
2021-01-12,18045.0,17438.0,15524.0,-0.01128705276,0.02299659744,0.1955333077
2021-01-13,19504.0,17772.0,12698.0,0.080853422,0.01915357266,-0.1820407112
2021-01-14,17993.0,16978.0,15871.0,-0.07747128794,-0.04467702003,0.2498818712
2021-01-15,18205.0,16956.0,11616.0,0.01178235981,-0.001295794558,-0.2680990486
2021-01-18,18432.0,17758.0,13246.0,0.0124691019,0.04729889125,0.1403236915
2021-01-19,17889.0,16222.0,15955.0,-0.02945963542,-0.08649622705,0.2045145704
2021-01-20,18088.0,17252.0,11456.0,0.01112415451,0.06349402047,-0.2819805704
2021-01-21,18265.0,17787.0,14447.0,0.009785493145,0.03101089729,0.2610858939
2021-01-22,18350.0,16951.0,10408.0,0.00465370928,-0.04700061843,-0.2795736139
2021-01-25,18051.0,17197.0,14181.0,-0.01629427793,0.01451241815,0.362509608
2021-01-26,18164.0,16792.0,15824.0,0.006260040995,-0.02355061929,0.1158592483
2021-01-27,18136.0,17490.0,15972.0,-0.00154151068,0.04156741305,0.009352881699
2021-01-28,18015.0,17895.0,16515.0,-0.006671812969,0.02315608919,0.03399699474
2021-01-29,17946.0,17221.0,12238.0,-0.003830141549,-0.037664152,-0.2589766879
2021-02-01,18282.0,17120.0,10662.0,0.01872283517,-0.00586493235,-0.1287792123
2021-02-02,18052.0,16769.0,15515.0,-0.01258068045,-0.02050233645,0.455167886
2021-02-03,20000.0,18869.0,15578.0,0.1079104808,0.1252310812,0.004060586529
2021-02-04,17943.0,17201.0,16267.0,-0.10285,-0.08839896126,0.04422904096
2021-02-05,17901.0,16508.0,12355.0,-0.002340745695,-0.04028835533,-0.2404868753
2021-02-08,18031.0,17502.0,15724.0,0.007262164125,0.06021322995,0.2726831242
2021-02-09,17957.0,17178.0,15598.0,-0.004104043037,-0.01851217004,-0.008013228186
2021-02-10,17847.0,17352.0,15519.0,-0.006125744835,0.01012923507,-0.005064751891
2021-02-15,18048.0,16479.0,12099.0,0.01126239704,-0.05031120332,-0.2203750242
2021-02-16,17829.0,16219.0,15293.0,-0.01213430851,-0.01577765641,0.2639887594
2021-02-17,18000.0,17030.0,15242.0,0.009591115598,0.0500030828,-0.003334859086
2021-02-18,19810.0,17839.0,16908.0,0.1005555556,0.04750440399,0.109303241
2021-02-19,18306.0,15694.0,12300.0,-0.07592125189,-0.120242166,-0.2725337119
2021-02-22,17974.0,17329.0,14151.0,-0.01813613023,0.1041799414,0.1504878049
2021-02-23,18072.0,17131.0,15209.0,0.005452320018,-0.01142593341,0.07476503427
2021-02-24,18062.0,17811.0,15665.0,-0.0005533421868,0.03969412177,0.02998224735
2021-02-25,17926.0,17469.0,16214.0,-0.007529620197,-0.01920161698,0.03504628152
2021-02-26,17940.0,17566.0,14850.0,0.0007809885083,0.005552693342,-0.08412483039
2021-03-02,18034.0,16535.0,14561.0,0.005239687848,-0.05869292952,-0.01946127946
2021-03-03,18034.0,16535.0,14561.0,0.0,0.0,0.0
2021-03-04,18347.0,16947.0,12051.0,0.01735610513,0.02491684306,-0.1723782707
2021-03-05,19000.0,17645.0,15074.0,0.03559164986,0.04118723078,0.2508505518
2021-03-08,20184.0,17617.0,15480.0,0.06231578947,-0.001586851799,0.02693379329
2021-03-09,18000.0,17809.0,15927.0,-0.1082045184,0.01089856389,0.02887596899
2021-03-10,23049.0,21496.0,16701.0,0.2805,0.2070301533,0.04859672255
2021-03-11,22557.0,20232.0,16713.0,-0.02134582845,-0.05880163751,0.0007185198491
2021-03-12,22121.0,20448.0,16031.0,-0.01932881146,0.01067615658,-0.04080655777
2021-03-15,23041.0,18376.0,14642.0,0.0415894399,-0.1013302034,-0.08664462604
2021-03-16,22212.0,18529.0,16000.0,-0.03597934117,0.008326077492,0.0927468925
2021-03-17,23551.0,21148.0,16060.0,0.06028273006,0.1413459982,0.00375
2021-03-18,23500.0,21550.0,17311.0,-0.002165513142,0.01900888973,0.07789539228
2021-03-19,24000.0,20743.0,16899.0,0.02127659574,-0.03744779582,-0.02379989602
2021-03-22,23519.0,20870.0,16340.0,-0.02004166667,0.006122547365,-0.03307888041
2021-03-23,23323.0,17692.0,14990.0,-0.008333687657,-0.1522759943,-0.08261933905
2021-03-24,23654.0,20821.0,16561.0,0.01419199931,0.1768595976,0.1048032021
2021-03-25,23226.0,21293.0,16303.0,-0.01809419126,0.0226694203,-0.0155787694
2021-03-26,23029.0,18200.0,11208.0,-0.008481873762,-0.1452590053,-0.3125191683
2021-03-29,22650.0,19277.0,14018.0,-0.0164575101,0.05917582418,0.2507137759
2021-03-30,22306.0,16575.0,16000.0,-0.01518763797,-0.1401670384,0.1413896419
2021-03-31,23113.0,19786.0,13567.0,0.03617860665,0.1937254902,-0.1520625
2021-04-01,23434.0,18565.0,11502.0,0.01388828798,-0.06171030021,-0.1522075625
