날짜,대,중,소
2019/1/5,13452.0,11695.0,10122.0
2019/1/7,13452.0,11695.0,10122.0
2019/1/8,12212.0,10216.0,9011.0
2019/1/9,13559.0,11526.0,10754.0
2019/1/10,13559.0,11526.0,10754.0
2019/1/11,11900.0,10715.0,9809.0
2019/1/12,11900.0,10715.0,9809.0
2019/1/14,11900.0,10715.0,9809.0
2019/1/15,17328.0,11010.0,9643.0
2019/1/16,12292.0,11242.0,10327.0
2019/1/17,12292.0,11242.0,10327.0
2019/1/18,13832.0,11746.0,10515.0
2019/1/19,13825.0,11435.0,9500.0
2019/1/21,13825.0,11435.0,9500.0
2019/1/22,13781.0,11890.0,9656.0
2019/1/23,13074.0,12447.0,9780.0
2019/1/24,13094.0,11907.0,10831.0
2019/1/25,13094.0,11907.0,10831.0
2019/1/26,13182.0,11534.0,10088.0
2019/1/28,13325.0,11669.0,10437.0
2019/1/29,12627.0,11736.0,10616.0
2019/1/30,12627.0,11736.0,10616.0
2019/1/31,12693.0,12091.0,10842.0
2019/2/1,13680.0,11821.0,10540.0
2019/2/2,13680.0,11821.0,10540.0
2019/2/8,13209.0,11618.0,10336.0
2019/2/9,13209.0,11618.0,10336.0
2019/2/11,13209.0,11618.0,10336.0
2019/2/12,13493.0,11387.0,10166.0
2019/2/13,13493.0,11387.0,10166.0
2019/2/14,12723.0,11266.0,10347.0
2019/2/15,12944.0,11417.0,10293.0
2019/2/16,12944.0,11417.0,10293.0
2019/2/18,12793.0,11835.0,10537.0
2019/2/19,13586.0,12438.0,10508.0
2019/2/20,15379.0,12033.0,9948.0
2019/2/21,12882.0,12146.0,10531.0
2019/2/22,13010.0,11543.0,8871.0
2019/2/23,13010.0,11543.0,8871.0
2019/2/25,13010.0,11543.0,8871.0
2019/2/26,13389.0,11999.0,9985.0
2019/2/27,14319.0,11974.0,10660.0
2019/2/28,13009.0,11916.0,10599.0
2019/3/1,13009.0,11916.0,10599.0
2019/3/2,12426.0,11194.0,10143.0
2019/3/4,12166.0,11001.0,9165.0
2019/3/5,12384.0,11877.0,10412.0
2019/3/6,12223.0,11011.0,9212.0
2019/3/7,12223.0,11011.0,9212.0
2019/3/8,12810.0,11094.0,10072.0
2019/3/9,12500.0,11304.0,10415.0
2019/3/11,12500.0,11304.0,10415.0
2019/3/12,11987.0,10934.0,10000.0
2019/3/13,11648.0,10316.0,9980.0
2019/3/14,12738.0,10974.0,9964.0
2019/3/15,13291.0,11737.0,10339.0
2019/3/16,13291.0,11737.0,10339.0
2019/3/18,13291.0,11737.0,10339.0
2019/3/19,12985.0,11679.0,10254.0
2019/3/20,13077.0,12300.0,10833.0
2019/3/21,12967.0,12136.0,10768.0
2019/3/22,12606.0,11067.0,9435.0
2019/3/23,12606.0,11067.0,9435.0
2019/3/25,12957.0,12147.0,10709.0
2019/3/26,13356.0,12229.0,10122.0
2019/3/27,13096.0,11152.0,10069.0
2019/3/28,12985.0,12196.0,10726.0
2019/3/29,12122.0,10137.0,10000.0
2019/3/30,12936.0,11745.0,10082.0
2019/4/1,12951.0,12492.0,10864.0
2019/4/2,13693.0,12196.0,10445.0
2019/4/3,12558.0,11396.0,10046.0
2019/4/4,12667.0,11447.0,10078.0
2019/4/5,12684.0,11832.0,10127.0
2019/4/6,12548.0,11746.0,10575.0
2019/4/8,12939.0,11949.0,11257.0
2019/4/9,12521.0,11763.0,10869.0
2019/4/10,13147.0,11829.0,9470.0
2019/4/11,12724.0,12355.0,11379.0
2019/4/12,12599.0,11955.0,11322.0
2019/4/13,13526.0,11925.0,10607.0
2019/4/15,13028.0,12500.0,11069.0
2019/4/16,12741.0,11709.0,10690.0
2019/4/17,14516.0,12541.0,11691.0
2019/4/18,12589.0,11662.0,10657.0
2019/4/19,12661.0,11756.0,10855.0
2019/4/20,13324.0,11882.0,10033.0
2019/4/22,13117.0,12375.0,11566.0
2019/4/23,12606.0,11428.0,10000.0
2019/4/24,13829.0,10781.0,10000.0
2019/4/25,16000.0,13085.0,11341.0
2019/4/26,12462.0,11621.0,10434.0
2019/4/27,12356.0,11471.0,10100.0
2019/4/29,14868.0,12473.0,11485.0
2019/4/30,11885.0,11040.0,8814.0
2019/5/1,12288.0,11677.0,11113.0
2019/5/2,12130.0,11982.0,11167.0
2019/5/3,12279.0,11816.0,10676.0
2019/5/4,12399.0,11726.5,10243.0
2019/5/6,13536.0,11919.5,11037.0
2019/5/7,14793.0,12023.0,11398.0
2019/5/8,14896.5,12308.0,11438.5
2019/5/9,13636.5,12092.5,10940.0
2019/5/10,12224.5,11604.5,10950.5
2019/5/11,12055.0,11338.5,10750.0
2019/5/13,12311.0,11600.5,11186.5
2019/5/14,12418.0,11557.0,10438.5
2019/5/15,12392.5,11585.5,10713.0
2019/5/16,13123.5,11348.0,10187.0
2019/5/17,12073.0,11716.0,11282.0
2019/5/18,11963.0,11504.5,11022.5
2019/5/20,13471.5,11784.0,10244.5
2019/5/21,13656.0,11486.0,9651.5
2019/5/22,12190.5,11304.5,10548.0
2019/5/23,12213.0,11674.5,11000.0
2019/5/24,13148.5,11621.0,10626.0
2019/5/25,12762.5,9691.0,5761.5
2019/5/27,14857.5,11601.0,6036.5
2019/5/28,15066.0,12951.0,10042.5
2019/5/29,12037.5,11004.5,9467.0
2019/5/30,11992.0,11040.0,9551.5
2019/5/31,15222.0,12743.0,10707.0
