월별,총지수,농축수산물,(농산물)곡물,(농산물)채소,(농산물)과실,축산물,국산쇠고기,수입쇠고기,돼지고기,닭고기,달걀,수산물,갈치,명태,조기,고등어,오징어,게,굴,조개,전복,새우,마른멸치,마른오징어,낙지,김,미역,소주,맥주,막걸리,석유류,쇠고기(외식),돼지갈비(외식),삼겹살(외식),오리고기(외식),생선초밥,생선회(외식)
2018.09 ,100.221,104.874,93.392,123.222,113.672,97.005,91.435,94.832,101.214,107.261,97.414,92.488,88.698,86.269,102.497,87.634,88.475,93.651,83.91,94.92,101.668,,95.303,85.24,111.76,95.8,98.579,94.27,97.638,99.161,117.537,95.811,97.744,97.359,98.68,96.922,101.423
2018.10 ,100.041,100.207,98.3,101.476,111.409,95.771,91.528,96.945,97.537,105.269,96.413,93.631,89.139,87.074,102.192,87.042,90.918,96.929,94.638,94.773,104.937,,95.696,85.9,110.02,96.597,98.607,94.254,98.574,99.245,121.283,95.967,97.86,97.6,98.68,97.233,101.568
2018.11 ,99.33,94.641,100.852,90.688,98.369,91.889,91.288,96.303,88.549,103.755,92.633,94.218,91.637,89.058,101.426,84.823,92.722,96.156,104.952,94.797,106.813,,95.175,86.587,107.746,96.535,98.073,94.245,98.647,99.366,117.104,96.167,98.092,97.796,98.68,97.673,101.214
2018.12 ,98.988,94.7,102.047,85.567,103.984,91.437,90.994,97.087,87.536,103.661,91.739,94.343,89.621,89.855,100.964,84.973,93.643,95.342,110.878,93.198,106.927,,95.467,87.977,106.539,96.274,98.186,94.038,98.473,99.413,108.097,96.427,98.316,97.885,98.765,97.71,100.905
2019.01 ,98.884,94.406,102.124,86.822,103,90.586,91.195,96.731,84.205,112.978,89.64,93.275,90.824,88.037,100.512,84.738,90.307,95.045,101.531,92.081,104.481,,95.897,91.671,106.361,96.831,98.148,94.104,98.684,99.012,101.028,96.662,98.71,98.135,98.783,98.269,101.068
2019.02 ,99.311,95.397,102.081,88.303,106.83,90.595,91.845,97.881,83.777,113.258,86.929,93.2,93.161,86.983,100.176,85.998,88.964,95.252,95.526,92.309,104.126,,96.655,93.791,105.719,96.796,98.27,94.013,98.537,99.068,100.205,96.861,98.745,98.108,99.056,98.553,100.814
2019.03 ,99.121,93.525,102.038,82.707,105.324,89.648,91.35,97.052,83.512,107.873,83.489,92.761,93.021,88.967,99.976,85.66,89.189,94.003,87.542,92.187,103.949,,97.176,95.336,103.924,96.885,98.42,93.988,98.179,99.124,101.439,96.861,98.906,98.331,99.216,98.635,100.151
2019.04 ,99.481,94.801,101.569,81.124,108.571,93.096,91.474,96.775,91.341,107.22,90.553,93.142,94.013,87.929,100.05,87.907,88.175,94.265,87.894,94.161,101.376,,97.486,97.267,103.537,95.463,98.223,94.245,100.143,99.813,105.022,97.07,98.933,98.241,99.357,98.754,99.996
2019.05 ,99.652,93.634,101.706,79.152,102.748,93.748,91.52,97.141,92.938,104.782,92.021,93.647,94.966,87.912,99.378,89.553,89.913,94.589,88.395,93.671,101.566,,97.55,97.573,101.936,96.611,98.561,98.894,99.794,99.766,111.074,97.252,98.969,98.277,99.357,99.139,100.123
2019.06 ,99.491,91.804,101.39,77.983,95.018,93.452,91.164,98.103,92.838,102.25,90.398,93.987,97.423,84.866,99.84,91.659,89.452,95.707,88.755,93.892,100.59,,97.751,97.456,101.495,96.336,98.382,99.177,100.29,99.72,111.864,97.399,99.166,98.634,99.357,99.093,100.178
2019.07 ,99.187,90.511,101.031,77.82,88.995,93.313,91.636,97.114,92.537,99.107,91.865,94.252,96.761,85.953,100.438,93.859,87.78,97.06,88.984,93.361,95.977,,97.934,98.209,99.708,98.074,98.757,99.052,100.317,99.804,108.985,97.434,99.3,98.803,99.414,99.112,100.142
2019.08 ,99.425,91.955,100.485,88.35,87.01,93.365,92.286,97.907,92.016,100.518,89.825,92.24,91.857,88.112,100.838,85.989,85.403,97.626,87.05,93.851,94.735,,97.998,97.941,98.455,98.074,97.736,99.235,99.693,99.645,108.93,97.53,99.318,98.803,99.621,99.249,100.151
2019.09 ,99.794,96.32,100.673,96.924,95.201,96.284,93.432,99.842,97.437,100.725,93.031,93.382,92.77,90.768,100.481,88.311,88.569,95.618,88.14,94.194,99.31,,97.532,97.281,98.362,97.91,98.926,99.26,100.51,99.469,110.922,97.634,99.318,98.874,99.649,99.46,100.014
2019.10 ,100.041,96.421,100.698,99.87,90.814,96.97,94.237,100.154,96.971,103.153,98.142,94.558,92.579,95.849,100.459,88.716,88.644,95.901,96.731,95.287,99.64,,97.779,97.272,97.975,98.116,98.851,99.417,100.767,99.124,111.875,97.955,99.747,99.097,99.649,99.46,99.569
2019.11 ,99.481,92.064,100.622,91.631,83.206,92.827,94.005,100.154,86.204,100.061,99.503,95.386,91.727,97.368,99.693,89.177,91.256,95.714,103.633,95.964,100.692,,98.345,96.377,97.008,98.947,98.551,99.451,100.189,99.245,111.54,98.111,99.747,99.266,99.856,99.772,98.96
2019.12 ,99.719,93.953,99.58,91.257,89.891,94.321,94.214,100.894,89.954,99.076,99.415,97.473,92.158,100.365,99.861,92.458,97.077,97.191,105.989,96.29,102.238,,98.665,98.398,100.683,99.621,98.476,99.467,99.987,99.385,112.211,98.25,99.747,99.346,99.856,99.772,99.324
2020.01 ,100.09,95.63,98.83,100.61,90.19,92.76,95.84,100.59,84.68,99.18,99.41,99.15,100.51,100.34,99.49,95.32,102.31,98.05,100.58,97.62,102.64,99.38,98.89,99.79,101.28,100.31,98.7,99.64,100.17,99.26,113.76,98.63,99.73,100.12,99.97,99.88,99.2
2020.02 ,100.16,94.73,98.37,97.27,90.39,91.86,96.62,99.96,82.11,101.08,97.37,100.28,104.49,100.38,100.48,98.67,101.8,97.61,97.44,99.43,104.07,101,99.12,100.33,99.82,99.56,98.83,100.1,99.98,99.37,112.85,98.84,99.48,99.84,99.99,99.88,98.83
2020.03 ,99.94,96.57,98.22,97.04,95.31,95.42,96.18,99.29,90.99,102.26,100.57,99.79,102.65,100.44,100.55,99.42,99.33,98.44,92.94,97.85,102.65,100.29,99.61,100,100.78,101.08,98.57,100.03,99.93,99.48,108.13,98.91,99.66,99.84,99.88,99.88,98.7
2020.04 ,99.5,95.78,97.99,90.12,97.04,96.2,96.7,98.76,92.84,99.55,101.87,100.53,105.65,99.56,100.6,102.86,99.03,99.97,93.65,96.17,99.93,99.74,99.87,99.96,100.96,100.21,98.66,99.94,100.03,99.74,97.91,98.91,99.71,99.69,99.89,99.88,98.69
2020.05 ,99.44,96.98,97.6,87.73,97.46,100.98,97.61,98.04,105.15,100.09,100.08,100.53,104.05,99.6,100.47,103.45,98.31,101.61,93.66,97.53,100.02,98.81,100.03,100.55,100.85,99.83,98.75,99.94,100,99.58,90.32,99.35,99.94,99.75,99.9,99.88,99.43
2020.06 ,99.71,97.4,97.72,86.07,97,103.86,101.06,100.77,109.27,100.2,98.62,100.24,100.94,100.12,100.74,104.46,94.83,102.35,93.4,97.34,100.11,99.66,100.29,100.35,100.89,100.29,98.72,100.03,99.99,99.67,94.56,99.75,99.98,99.83,99.91,99.92,99.95
2020.07 ,99.63,98.45,97.48,90.34,100.8,102.68,100.68,100.42,106.94,99.9,97.44,99.23,99.13,100.34,101.09,101.5,91.93,101.17,92.48,97.25,98.54,101.58,100.51,100.39,101.16,99.84,99.52,99.97,99.99,100.13,97.85,100,100.14,99.83,99.94,99.99,100.18
2020.08 ,100.19,103.3,97.89,112.27,102.22,103.23,100.96,101.35,107.9,99.42,97.54,98.19,95.47,100.13,100.58,98.24,91.79,102.59,91.49,97.33,98.39,101.15,100.78,100.13,99.85,99.78,100.46,99.99,99.98,100.37,97.95,100.64,100.13,99.83,99.94,99.99,100.35
2020.09 ,100.74,108.68,99.55,127.79,110.31,103.56,102.99,101.2,105.79,101.42,101.42,98.72,96.04,100.54,98.81,98.23,100.17,97.88,91.95,100.36,98.2,100.66,99.99,99.52,98.88,99.98,101.22,100.04,99.92,100.55,97.6,100.82,100.25,99.99,100.05,99.93,100.35
2020.10 ,100.18,108.45,102.44,119,113.62,104.51,103.84,100.76,107.65,98.49,103.39,100,97.22,100.66,99.12,99.12,104.21,98.92,95.27,104.9,99.61,100.16,101.01,100.46,98.66,99.49,101.73,100.07,99.96,100.25,96.16,101.11,100.31,100.25,100.07,100.04,101.14
2020.11 ,100.09,101.74,106.08,98.92,99.95,101.81,103.52,99.3,101.93,98.47,101.31,101.36,97.07,99.7,99.08,99.02,106.71,100.9,122.33,106.86,98.81,99.29,100.04,99.02,98.69,99.86,102.14,100.08,100.01,100.65,94.93,101.45,100.33,100.51,100.21,100.21,101.55
2020.12 ,100.33,102.3,107.84,92.82,105.69,103.14,104.01,99.55,104.73,99.94,100.99,101.97,96.76,98.18,98.99,99.7,109.56,100.51,134.8,107.35,97.02,98.28,99.86,99.5,98.18,99.79,102.72,100.17,100.02,100.96,97.97,101.59,100.34,100.55,100.26,100.52,101.63
2021.01 ,101.04,105.7,108.76,105.41,107.09,104.46,105.12,101.13,102.23,106.2,114.97,102.26,100.69,98.39,98.39,102.23,107.8,100.88,119.43,109.72,97.3,98.81,99.74,100.15,98.56,98.87,103.5,100.24,100.09,100.92,103.68,101.87,100.58,100.74,100.26,101.36,102.05
2021.02 ,101.58,109.97,109.24,119.45,111.39,106.27,107.12,102.16,98.42,108.67,139.08,102.31,103.36,98.08,97.68,103.03,109.2,100.56,106.7,111.47,95.96,99.61,99.05,98.94,98.73,99.38,103.76,100.32,100.12,101,105.69,102.4,100.69,100.84,100.6,101.74,102.34
2021.03 ,101.84,109.41,109.47,116.51,112.81,105.48,107.1,100.12,96.63,107.93,141.28,102.14,105.27,98.3,99.29,104.76,106.87,100.35,100.05,108.93,93.88,99.09,99.6,99.68,97.15,99.23,103.82,100.27,100.05,101.04,109.4,102.68,101.03,101.08,101.18,102.08,103.47
2021.04 ,101.98,108.4,109.54,108.46,112.96,107.56,106.83,100.11,102.73,106.88,140.16,101.83,106.65,97.74,99.64,105.14,104.38,99.75,99.75,107.04,95.61,97.61,99.47,99.61,96.58,98.45,103.98,100.34,100.25,110.99,111.05,102.75,101.35,101.24,101.69,102.44,103.65
2021.05 ,102.05,107.94,110.1,98.44,113.67,111.54,106.9,102.36,110.7,105.51,147.12,101.91,107.48,97.45,99.27,106.5,102.33,100.06,99.85,108.21,94.87,96.66,98.96,99.05,97.18,98.15,104.5,100.37,100.34,114.7,111.3,102.79,101.57,101.29,101.87,102.73,104.11
2021.06 ,102.05,106.63,110.24,91.44,110.93,113.76,107.93,103.51,113.95,102.94,153.72,101.51,103.95,96.35,99.15,108.91,97.8,100.86,99.5,108,94.18,96.52,99.01,98.76,98.17,98.27,104.65,100.37,100.37,116.22,113.4,103.5,101.8,101.61,101.99,102.76,104.56
2021.07 ,102.26,106.81,110.49,90.25,112.47,114.96,108.34,105.85,115.2,106.6,154.35,100.08,100.28,95.89,99.12,106.56,92.28,99.61,98.13,108.17,90.65,98.55,99.04,98.72,99.47,98.7,105.11,100.37,100.32,117.53,117.14,104.25,102.14,101.97,102.07,102.85,104.99
2021.08 ,102.75,109.06,110.44,99.19,112.91,116.26,108.34,107.97,118,110.02,151.67,99.92,99.18,95.54,99.55,104.81,91.68,100.13,97.95,109.08,91.86,101.06,98.3,98.97,100.36,98.97,105.39,100.85,100.27,117.73,119.05,104.76,102.55,102.41,102.13,103.49,106.63
2021.09 ,103.17,112.01,109.78,113.58,110.03,118.13,110.61,111.13,121.65,107.84,146.05,100.45,101.1,95.85,99.18,104.75,95.37,99.57,98.46,109.33,91.23,101.64,96.8,99.02,100.41,99.8,105.82,100.92,100.3,117.92,118.97,105.53,103.15,103.5,102.51,103.85,107.38
