date,광어_20대,광어_30대,광어_40대,광어_50대,광어_60대 이상,농어_20대,농어_30대,농어_40대,농어_50대,농어_60대 이상,대게_20대,대게_30대,대게_40대,대게_50대,대게_60대 이상,방어_20대,방어_30대,방어_40대,방어_50대,방어_60대 이상,연어_20대,연어_30대,연어_40대,연어_50대,연어_60대 이상,우럭_20대,우럭_30대,우럭_40대,우럭_50대,우럭_60대 이상,참돔_20대,참돔_30대,참돔_40대,참돔_50대,참돔_60대 이상
2018-07-29,4.008711887279762,3.565463760178401,3.457178133971947,4.925706964713528,2.5669913640594832,3.96171227418752,4.289452003083979,4.168521087444106,5.048842360323222,4.562429396325324,4.772600647712139,5.485218438558045,4.657636144363865,4.162737501334977,3.1301301477649925,3.508138194546137,3.642815059665283,3.6708674152378262,3.98868054670952,2.378609725121154,6.00673394366699,4.883200279128856,5.101797512159248,4.860755469830789,4.180452614143324,3.644268199442236,3.311366221039875,3.5242688348745608,3.942569612083327,3.550645819170632,2.9484665743908147,3.088086910673423,3.0235546885718154,2.9956704770463665,1.7418552477040676
2018-07-30,4.0976863656980616,3.7043928882583823,3.779740869568733,4.044073107413126,1.80764570131986,4.188204674241431,4.6845016590675845,4.61917235144778,4.839697835315574,2.043651251062756,4.863705604669422,5.569397179505549,4.711014652560673,3.591074709934261,2.172614881921322,3.1310831078072825,3.182260469580409,3.4275868281667847,3.368048819241165,1.6790549640502117,7.1319849766043735,6.410574435009326,5.345440555130091,4.255783422284068,3.0265161115756136,3.549548287029097,3.4465945323554337,2.9015625712694844,4.438428704535499,1.6518415566365512,3.078144509820248,2.975300428762223,3.1584064977560384,3.312241062948579,1.3139757861384878
2018-07-31,4.010183163198696,3.477007675294108,3.2614317820965533,4.020024503585579,1.3736466486980388,3.962481353944197,4.079022513654522,3.8915556769863406,5.429496504786313,2.1147221250425634,4.651937567333578,5.218155747171973,4.914310635958172,4.016800234927909,1.630634795472894,3.2105245219783343,3.036172795066056,3.13092744547798,3.2731729761803843,1.3507859142073346,7.4865065866607505,6.007532784615481,5.831134010826002,6.6573055816417845,2.3920674102137074,3.67373352354972,3.2862814700031664,2.9926752169475157,3.8506999112882103,1.3013654618473889,3.003325073107424,2.936446889598285,2.978634198008983,2.8988242422382293,1.3639045612231635
2018-08-01,3.990491187867293,3.5280910469378,3.374811008627061,3.778984655328348,1.5965394969234472,4.114115643487695,4.268760089329211,4.123102177403626,4.15549669747928,2.064299248259042,5.000169958553641,5.167606198335476,4.499544448584446,3.963659706811134,2.280922357542776,3.390184144924859,3.1699476678534646,3.0282194361340564,3.3195814454090184,1.972581825228971,7.289342960587119,6.415544871464275,5.561492927008485,5.023462366632467,2.388398613477541,3.4285926659484245,3.0013381403503803,2.963242738444948,3.524298601500797,1.9670103092783464,3.035414426081988,2.9847049540904296,2.768239644919388,2.937545707448827,1.9153489914624888
2018-08-02,3.697497683405429,3.393389806656228,3.712989725930108,4.326783400639696,2.4102919471619733,3.877470330881401,4.595688712944958,4.300741810889388,5.045343853288797,3.3233235193426016,4.3881646215748,5.4235837955320845,4.886103957355237,4.886672628758081,2.101800500644844,2.93323226999228,3.175148623457272,2.924062233940087,4.218281526644633,2.5164723188785603,6.55772148935786,6.847128098450042,5.066444081342793,6.630130291944154,4.066858619316122,3.3338947932047285,3.235403703606961,3.2367068704430606,3.382968008666761,1.797076818490824,3.2794068250571278,3.91942596678012,3.241625566210156,3.836088864526548,2.6320846340388995
2018-08-03,3.4657429245267646,3.285522081201344,3.174374790275918,5.138624907685909,1.45508840519263,3.957840995689616,4.292557848757383,3.813660809382276,6.62288601735842,1.7116853682269877,4.419559263111182,5.3984847657811885,4.375757154879705,5.022325031519944,2.1055006936788336,2.9168820792635737,2.91128320168134,2.875760711942017,3.811665828563414,1.1230464964057696,5.783968369084908,5.532212934546269,4.576291789830126,5.537495448184794,2.404195685740257,3.2821025133005253,3.1067702289861776,3.0637150468202234,3.979491967862902,1.2619014379449955,3.0117434386784936,3.103181859632538,2.742049143053389,3.630412409713753,1.5082650706285647
2018-08-04,3.868790007890635,3.803951957632345,3.620904798620615,5.746306068858205,3.2297982896401902,4.102608883132644,4.655700991021189,4.441715938281707,9.405596498772333,3.9324071152405127,4.280959697859599,5.411638908222104,4.854233028809086,5.0932732191424535,2.189169822489029,3.075840767919152,3.108648611156145,2.994510828428793,4.464506859816738,2.119326064906627,5.588631785275073,4.79716734556736,4.963268305139064,6.284606184080662,4.331745886203297,3.3263926942027164,3.3646829932521287,3.051738379504954,4.701290604871423,3.2757784067933704,2.9440165838386854,3.68251149970295,3.160268038397675,3.6066651847112574,2.3937578046100696
2018-08-05,4.73143205141827,5.045125581327191,4.808947338676772,6.875707967911963,2.9089310885103465,4.024803044783663,4.544759938136899,4.423376134991257,5.679730954814458,2.300810192316605,5.303616885571607,7.110741574674698,6.388053610739227,6.313471820235996,2.9213721009367952,3.349205150642784,3.6285135687345167,3.585565840498377,5.00376849201748,3.701619711308565,6.190977659322725,6.328998088007756,5.602293131219765,5.997965598875135,3.221452387573957,3.653011377218186,3.4238530717919726,3.455164172978402,3.544620492643105,1.9670103092783464,2.816959200306261,3.2866263588784563,3.07852669930743,3.100213816735284,2.029765630236054
2018-08-06,4.111311911152377,4.381769240919234,4.050010570672977,5.683733708519313,1.866912938995781,4.4988020726100535,5.0586355497068425,4.28179823148512,6.443298607909805,2.5301826171078656,5.41409290789414,6.623023350662461,5.107358569504703,4.462277637456384,2.589641378807668,3.2699821348952467,3.4108025327409357,3.4883552443650307,3.534704108251046,1.7108732289199111,7.942249986341576,9.015617589790356,6.274177881963807,8.10181495674977,2.952551428492319,3.532222088702106,3.7561717009452336,3.5324801696504227,4.213759838603535,1.876089663760896,2.9942901459264872,3.6880233895793983,3.426788527710076,3.668388719717408,2.117332274278002
2018-08-07,4.005906558919807,3.903598031604526,4.548720873303548,4.52080928075566,2.1930811294629464,4.097414498344138,4.194918793718498,4.699610463612116,8.335137538780511,3.2468539685468683,4.93056260607779,5.6363410135491865,4.692428985571195,4.352493996536239,1.7685488403747238,3.3461221026300034,2.938190198097625,3.419840896182889,4.337884643077948,1.972581825228971,8.16662608542307,7.03669663269277,6.582563551238717,7.815515495221334,5.535458191153159,3.4689688189191545,3.514336528968185,3.9241084601545992,4.97480710342718,2.08788659793814,2.9343786035921857,3.1075067799625797,3.3538413469919632,3.06270505731767,1.6865117435968702
