날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-05-28,18907,14126,12078,-0.008495463842,-0.09801417534,0.01786617226
2018-05-29,15950,13009,9111,-0.1563971016,-0.07907404786,-0.2456532538
2018-05-30,13960,9553,5770,-0.1247648903,-0.2656622338,-0.3666995939
2018-05-31,17152,12069,6206,0.2286532951,0.2633727625,0.07556325823
2018-06-01,18559,14025,9054,0.08203125,0.1620681084,0.4589107316
2018-06-02,17172,13696,7247,-0.0747346301,-0.02345811052,-0.199580296
2018-06-04,17565,13066,6395,0.02288609364,-0.04599883178,-0.1175658893
2018-06-05,18141,12797,5561,0.03279248506,-0.02058778509,-0.1304143862
2018-06-06,17211,15687,13016,-0.05126509013,0.2258341799,1.340586225
2018-06-07,16841,13789,9703,-0.02149787926,-0.1209919041,-0.2545328826
2018-06-08,14563,11470,5095,-0.1352651268,-0.1681775328,-0.4749046687
2018-06-09,15122,12276,8467,0.03838494816,0.07027027027,0.6618253189
2018-06-11,17635,12820,7766,0.166181722,0.04431410883,-0.08279201606
2018-06-12,15789,12596,8554,-0.1046781968,-0.01747269891,0.1014679372
2018-06-13,15550,13578,10858,-0.01513712078,0.07796125754,0.2693476736
2018-06-14,15789,12596,8554,0.01536977492,-0.07232287524,-0.2121937742
2018-06-15,16534,14733,13435,0.04718474888,0.169657034,0.5706102408
2018-06-16,16473,14384,12312,-0.003689367364,-0.02368831874,-0.08358764421
2018-06-18,16077,13273,10826,-0.0240393371,-0.07723859844,-0.1206952567
2018-06-19,13500,12439,11600,-0.1602910991,-0.06283432532,0.07149455016
2018-06-20,13933,8518,4186,0.03207407407,-0.3152182651,-0.639137931
2018-06-21,19692,16346,12540,0.4133352473,0.9189950693,1.995699952
2018-06-22,17935,14384,5786,-0.08922405038,-0.120029365,-0.5385964912
2018-06-23,17801,15558,11145,-0.007471424589,0.08161846496,0.9262011753
2018-06-25,18162,14491,12385,0.02027975956,-0.06858207996,0.111260655
2018-06-26,20512,16838,13000,0.1293910362,0.1619625975,0.04965684296
2018-06-27,18598,17035,13917,-0.09331123245,0.01169972681,0.07053846154
2018-06-28,17315,12724,8071,-0.06898591246,-0.2530672146,-0.4200617949
2018-06-29,19852,14945,9698,0.1465203581,0.1745520277,0.2015859249
2018-06-30,18392,14917,10638,-0.07354422728,-0.0018735363,0.09692720148
2018-07-02,19331,16524,13300,0.05105480644,0.1077294362,0.2502350066
2018-07-03,15671,11923,8673,-0.1893331954,-0.2784434762,-0.3478947368
2018-07-04,19727,16120,12942,0.2588220279,0.3520087226,0.4922172259
2018-07-05,12974,10688,3621,-0.3423227049,-0.3369727047,-0.7202132592
2018-07-06,18288,14221,11206,0.4095884076,0.3305576347,2.094725214
2018-07-07,14366,9665,6204,-0.2144575678,-0.3203712819,-0.4463680171
2018-07-09,21827,14629,8536,0.519351246,0.5136057941,0.3758865248
2018-07-10,9658,3764,3200,-0.5575205021,-0.7427028505,-0.6251171509
2018-07-11,20449,16060,11000,1.117312073,3.266737513,2.4375
2018-07-12,18004,15516,9715,-0.1195657489,-0.03387297634,-0.1168181818
2018-07-13,19335,13739,10805,0.073928016,-0.1145269399,0.1121976325
2018-07-14,18344,15649,11499,-0.05125420222,0.1390203072,0.06422952337
2018-07-16,16779,15004,12536,-0.08531399913,-0.04121669116,0.09018175494
2018-07-17,18886,14630,13013,0.1255736337,-0.02492668622,0.03805041481
2018-07-18,20075,15866,12793,0.06295668749,0.08448393712,-0.01690617075
2018-07-19,19313,16930,15000,-0.03795765878,0.06706164125,0.1725162198
2018-07-20,18066,12442,3937,-0.06456790763,-0.2650915535,-0.7375333333
2018-07-21,18860,15063,7585,0.04394996125,0.2106574506,0.9265938532
2018-07-23,15226,13275,4783,-0.1926829268,-0.1187014539,-0.3694133158
2018-07-24,17975,12505,3038,0.1805464337,-0.05800376648,-0.3648337863
2018-07-25,14080,9338,4310,-0.216689847,-0.2532586965,0.4186965109
2018-07-26,17543,11825,6979,0.2459517045,0.2663311202,0.6192575406
2018-07-27,13031,11152,6360,-0.2571966026,-0.05691331924,-0.08869465539
2018-07-28,14592,8745,2877,0.119791267,-0.2158357245,-0.5476415094
2018-07-30,13031,11152,6360,-0.1069764254,0.275242996,1.210636079
2018-07-31,13031,11152,6360,0.0,0.0,0.0
2018-08-01,18667,15913,13000,0.4325070985,0.4269189383,1.044025157
2018-08-02,19590,15844,7781,0.04944554562,-0.004336077421,-0.4014615385
2018-08-03,19590,15844,7781,0.0,0.0,0.0
2018-08-06,20282,17591,12616,0.03532414497,0.11026256,0.621385426
2018-08-07,18348,14803,10341,-0.09535548762,-0.158490137,-0.1803265694
2018-08-08,17652,16509,11474,-0.03793328973,0.1152469094,0.109563872
2018-08-09,15525,13130,7035,-0.120496261,-0.2046762372,-0.3868746732
2018-08-10,15068,13142,9812,-0.02943639291,0.0009139375476,0.3947405828
2018-08-11,12333,9803,4996,-0.1815104858,-0.2540709177,-0.4908275581
2018-08-13,16695,13251,9765,0.3536852347,0.3517290625,0.9545636509
2018-08-17,16787,15208,12682,0.005510631926,0.147686967,0.2987199181
2018-08-18,16746,14196,12318,-0.002442366117,-0.06654392425,-0.02870209746
2018-08-20,16530,15247,12900,-0.01289860265,0.07403493942,0.04724792986
2018-08-21,18547,14829,5710,0.1220205687,-0.02741522923,-0.5573643411
2018-08-22,18242,15290,10989,-0.01644470804,0.0310877335,0.9245183888
